maxRatio,minTrainLoss,minEvalLoss,modelIndex,slug,freqs,freqs_neurons,non_freqs
1276231.370541987,1.9097597176474484e-7,0.000013365519005797447,97,2023_07_20_20_27_41_917277,3 23 29 31,6 6 5 5,2
1476916.264517055,2.0921664233289272e-7,0.0024789801674088936,98,2023_07_20_20_27_42_189379,23 1 9 24,5 5 4 5,5
1534371.0255426965,1.991238900622168e-7,0.0000012039243825242293,99,2023_07_20_20_27_42_614555,27 25 22,7 6 7,4
1378438.5593188158,2.004269406656733e-7,0.000009580277602996634,100,2023_07_20_20_27_42_730335,15 25 23,7 7 8,2
1574389.9872312583,1.6052877723770572e-7,9.183190414275438e-7,101,2023_07_20_20_27_42_923607,21 8 23 18,6 7 4 5,2
1530136.9329414668,1.761918787145767e-7,0.00015529900270052754,102,2023_07_20_20_27_43_282795,29 31 20 14,5 5 5 4,5
1413866.6132788493,1.8207479454037937e-7,0.0000016414199927181948,103,2023_07_20_20_27_43_854108,26 9 4 25,6 5 3 5,5
1327557.5508831597,1.7892250561327774e-7,0.000001792510002921961,104,2023_07_20_20_27_44_077778,19 17 2 5,6 7 5 5,1
1384226.5756398735,1.7607186902132863e-7,0.00000474740434963413,105,2023_07_20_20_27_44_235415,2 3 23 10,6 5 5 5,3
1654643.8827655672,1.782216457250491e-7,7.607942009937344e-7,106,2023_07_20_20_27_44_368132,6 3 26,7 9 5,3
1409913.560730522,1.779254223373342e-7,8.388004043276853e-7,107,2023_07_20_20_27_44_490699,16 4 2,7 7 10,0
1409659.6496209088,1.764849538553611e-7,0.0000012797237909598235,108,2023_07_20_20_27_45_851005,25 4 32,7 8 8,1
1454439.0707165608,1.789689314341521e-7,0.0000013807795542942128,109,2023_07_20_20_27_46_389172,6 16 0,6 7 7,4
1507877.585608974,1.8073242168831477e-7,0.0000013875167858090449,110,2023_07_20_20_27_46_780677,24 18 6,5 9 7,3
1388717.1673290587,2.1167953047245453e-7,9.367637472960893e-7,111,2023_07_20_20_27_46_784783,7 32 3,9 9 6,0
1410435.827524882,1.8025068654532364e-7,0.0000011591257774733845,112,2023_07_20_20_27_47_131924,23 13 10,8 7 9,0
1315553.4945305868,1.724134853894354e-7,6.485763000097954e-7,113,2023_07_20_20_27_47_177376,30 18 21,8 9 7,0
1557315.3283331054,2.0271839660195943e-7,0.00023636947381192627,114,2023_07_20_20_27_47_623842,0 13 7 32,6 5 5 3,5
1554321.5352650573,1.835524097653211e-7,0.0000016396811401240704,115,2023_07_20_20_27_47_825334,13 27 22 11,5 3 5 7,4
1468540.5809983017,2.1752324329237633e-7,0.0000012376125600327394,116,2023_07_20_20_27_48_891965,14 6 25,6 11 6,1
